Ref,Val,Package,PosX,PosY,Rot,Side
"C101","10u","C_0805_2012Metric",-8.275000,16.250000,0.000000,top
"C102","10u","C_0805_2012Metric",-8.275000,14.225000,180.000000,top
"C103","10u","C_0805_2012Metric",-8.275000,12.175000,0.000000,top
"C104","10u","C_0805_2012Metric",8.375000,16.250000,0.000000,top
"C105","10u","C_0805_2012Metric",8.375000,12.175000,180.000000,top
"C106","10u","C_0805_2012Metric",6.025000,-5.725000,180.000000,top
"C107","10u","C_0805_2012Metric",8.375000,14.225000,180.000000,top
"C108","10u","C_0805_2012Metric",6.025000,-7.750000,180.000000,top
"C201","47p","C_0402_1005Metric",-6.600000,-3.900000,180.000000,top
"C202","47p","C_0402_1005Metric",-4.600000,-3.900000,0.000000,top
"C301","1u","C_0402_1005Metric",-14.200000,-1.425000,-135.000000,top
"C302","100n","C_0402_1005Metric",-12.025000,-3.600000,-135.000000,top
"C303","100n","C_0402_1005Metric",-9.285589,7.560589,135.000000,top
"C304","100n","C_0402_1005Metric",-4.774651,0.910051,45.000000,top
"C305","20p","C_0402_1005Metric",-16.089411,8.715589,-135.000000,top
"C306","20p","C_0402_1005Metric",-15.800000,4.650000,135.000000,top
"C307","100n","C_0402_1005Metric",-13.525000,-2.100000,-135.000000,top
"C308","100n","C_0402_1005Metric",-11.335589,8.989411,45.000000,top
"C401","100n","C_0402_1005Metric",1.600000,4.025000,180.000000,top
"C501","10u","C_0805_2012Metric",6.025000,-9.775000,180.000000,top
"C502","1u","C_0402_1005Metric",11.500000,-7.775000,90.000000,top
"C503","10u","C_0805_2012Metric",15.825000,-4.200000,90.000000,top
"C601","10n","C_0402_1005Metric",12.825000,-1.450000,180.000000,top
"C602","220n","C_0402_1005Metric",11.000000,-3.750000,-90.000000,top
"C701","100n","C_0402_1005Metric",-6.180000,6.500000,180.000000,top
"C702","100n","C_0402_1005Metric",3.800000,6.475000,180.000000,top
"C703","100n","C_0402_1005Metric",-1.480000,6.461143,180.000000,top
"D101","SS210","D_SMA",15.600000,2.125000,-90.000000,top
"D301","USER","D_0603_1608Metric",-15.237500,-6.375000,0.000000,top
"D302","FAULT","D_0603_1608Metric",-15.237500,-8.025000,0.000000,top
"D501","BZT52C30S","D_SOD-323",7.800000,9.450000,-90.000000,top
"D502","BZT52C30S","D_SOD-323",9.825000,9.150000,-90.000000,top
"D601","OCD","D_0603_1608Metric",13.025000,0.550000,-90.000000,top
"D602","1N4148WS","D_SOD-323",13.150000,-4.925000,180.000000,top
"D603","1N4148WS","D_SOD-323",13.150000,-2.925000,0.000000,top
"FID101","Fiducial","Fiducial_0.5mm_Mask1mm",-16.400000,10.775000,0.000000,top
"FID102","Fiducial","Fiducial_0.5mm_Mask1mm",-16.050000,-9.800000,0.000000,top
"FID103","Fiducial","Fiducial_0.5mm_Mask1mm",16.200000,10.325000,0.000000,top
