Comment,Designator,Footprint,JLCPCB Part #
10u,"C101, C102, C103, C104, C105, C106, C107, C108, C501, C503",805,C440198
47p,"C201, C202",402,C1567
1u,"C301, C502",402,C52923
100n,"C302, C303, C304, C307, C308, C401, C701, C702, C703, C704",402,C307331
20p,"C305, C306",402,C1554
10n,C601,402,C15195
220n,C602,402,C16772
SS210,D101,SMA,C14996
USER,D301,603,C72041
FAULT,D302,603,C2286
BZT52C30S,"D501, D502",SOD-323,C22622
OCD,D601,603,C2286
1N4148WS,"D602, D603",SOD-323,C2128
USB_C_Receptacle_USB2.0,J201,USB C,C963223
33u,L501,IND-SMD_L4.0-W4.0,C602034
MMBT5551,Q501,SOT-23,C2145
5k1,"R101, R102, R301, R302, R601",402,C25905
120R,R103,402,C25079
0R,"R104, R105, R501, R702, R704",402,C17168
51k,R303,402,C25794
3k3,R304,402,C25890
10k,"R305, R306, R401",402,C25744
5R,R504,603,C22936
15k,R505,402,C25756
0R,R506,603,C21189
20m,"R701, R703",1206,C393094
USER,SW301,B3U-3000P,C963349
SRV05-4,U201,SOT-23-6,C7420376
STM32G431,U301,QFN48,C529356
SN65HVD230,U302,SOIC8,C12084
MT6835,U401,TSSOP-16,C2932578
MAX15062AATA+T,U501,TDFN-8,C2846801
L6226QTR,U601,VQFN-32,C95357
MAX49925,"U701, U703",DFN-10,C19193612
12MHz,Y301,3225,C9002
