"#","Reference","Qty","Value","Footprint","DNP","LCSC Part"
"1","C101, C102, C103, C104, C105, C106, C107, C108, C501, C503","10","10u","Capacitor_SMD:C_0805_2012Metric","","C440198"
"2","C201, C202","2","47p","Capacitor_SMD:C_0402_1005Metric","","C1567"
"3","C301, C502","2","1u","Capacitor_SMD:C_0402_1005Metric","","C52923"
"4","C302, C303, C304, C307, C308, C401, C701, C702, C703","9","100n","Capacitor_SMD:C_0402_1005Metric","","C307331"
"5","C305, C306","2","20p","Capacitor_SMD:C_0402_1005Metric","","C1554"
"6","C601","1","10n","Capacitor_SMD:C_0402_1005Metric","","C15195"
"7","C602","1","220n","Capacitor_SMD:C_0402_1005Metric","","C16772"
"8","D101","1","SS210","Diode_SMD:D_SMA","","C14996"
"9","D301","1","USER","Diode_SMD:D_0603_1608Metric","","C72041"
"10","D302","1","FAULT","Diode_SMD:D_0603_1608Metric","","C2286"
"11","D501, D502","2","BZT52C30S","Diode_SMD:D_SOD-323","","C22622"
"12","D601","1","OCD","Diode_SMD:D_0603_1608Metric","","C2286"
"13","D602, D603","2","1N4148WS","Diode_SMD:D_SOD-323","","C2128"
"14","J101","1","INPUT","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","",""
"15","J201","1","USB_C_Receptacle_USB2.0","easyeda2kicad:USB-C-SMD_GT-USB-7052_1","","C963223"
"16","L501","1","33u","Inductor_SMD:L_1210_3225Metric","","C394994"
"17","M101","1","MOT","footprints:XH2.54 4P","",""
"18","Q501","1","MMBT5551","Package_TO_SOT_SMD:SOT-23","","C2145"
"19","R101, R102, R301, R302, R601","5","5k1","Resistor_SMD:R_0402_1005Metric","","C25905"
"20","R103","1","120R","Resistor_SMD:R_0402_1005Metric","","C25079"
"21","R104, R105","2","0R","Resistor_SMD:R_0402_1005Metric","","C17168"
"22","R303, R502","2","51k","Resistor_SMD:R_0402_1005Metric","","C25794"
"23","R304","1","3k3","Resistor_SMD:R_0402_1005Metric","","C25890"
"24","R306, R401","2","10k","Resistor_SMD:R_0402_1005Metric","","C25744"
"25","R501","1","200k","Resistor_SMD:R_0402_1005Metric","","C25764"
"26","R503","1","22k","Resistor_SMD:R_0402_1005Metric","","C25768"
"27","R504","1","5R","Resistor_SMD:R_0603_1608Metric","","C22936"
"28","R505","1","15k","Resistor_SMD:R_0402_1005Metric","","C25756"
"29","U201","1","SRV05-4","Package_TO_SOT_SMD:SOT-23-6","","C7420376"
"30","U301","1","STM32G431","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","","C529356"
"31","U302","1","SN65HVD230","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","C12084"
"32","U401","1","MT6835","matei:MagnTek TSSOP-16-1EP_4.4x5mm_P0.65mm","","C2932578"
"33","U501","1","MAX15062CATA+T","easyeda2kicad:TDFN-8_L2.0-W2.0-P0.50-BL","","C1121853"
"34","U601","1","L6226QTR","easyeda2kicad:VQFN-32_L5.0-W5.0-P0.50-TL-EP","","C95357"
"35","U701, U702, U703","3","ACS711KEXLT-15AB-T","easyeda2kicad:IC-SMD_ACS711KEXLT-15AB-T","","C146412"
"36","Y301","1","12MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","","C9002"
